2	425	23	3	0	275	700	1125	1550	1975	2402	2740	3165	3590	4015	4440	4911	2_06_425_Sa_Ro	6	5
3	425	21	3	0	275	700	1125	1550	1975	2572	2910	3335	3760	4185	4610	5081	3_06_425_Ro_Sa	5	6
3	425	65	3	0	348	773	1198	1623	2048	2717	2983	3408	3833	4258	4683	5268	3_17_425_Ro_Mi	5	2
3	425	9	3	0	342	767	1192	1617	2042	2678	2977	3402	3827	4252	4677	5197	3_03_425_Ko_Ja	3	4
1	425	33	3	0	310	735	1160	1585	2010	2473	2860	3285	3710	4135	4560	5065	1_09_425_Ko_Ja	3	4
1	425	49	3	0	386	811	1236	1661	2086	2612	2936	3361	3786	4211	4636	5097	1_13_425_Ar_Ja	1	4
1	425	101	3	0	335	760	1185	1610	2035	2561	2885	3310	3735	4160	4585	5148	1_26_425_Ko_Sa	3	6
1	425	87	3	0	285	710	1135	1560	1985	2532	2835	3260	3685	4110	4535	4999	1_22_425_Mi_Ko	2	3
2	425	75	3	0	293	718	1143	1568	1993	2449	2758	3183	3608	4033	4458	5011	2_19_425_Sa_Ar	6	1
3	425	39	3	0	312	737	1162	1587	2012	2651	2947	3372	3797	4222	4647	5132	3_10_425_Ja_Ro	4	5
3	425	73	3	0	293	718	1143	1568	1993	2619	2928	3353	3778	4203	4628	5181	3_19_425_Ar_Sa	1	6
3	425	29	3	0	347	772	1197	1622	2047	2688	2982	3407	3832	4257	4682	5266	3_08_425_Ar_Ja	1	4
2	425	57	3	3	318	743	1168	1593	2018	2509	2783	3208	3633	4058	4483	4935	2_15_425_Ko_Ja	3	4
3	525	50	4	0	325	850	1375	1900	2425	3195	3580	4105	4630	5155	5680	6175	3_13_525_Ar_Ja	1	4
2	525	74	4	0	310	835	1360	1885	2410	3063	3355	3880	4405	4930	5455	6009	2_19_525_Ar_Sa	1	6
1	525	58	4	0	275	800	1325	1850	2375	3108	3425	3950	4475	5000	5525	6079	1_15_525_Ko_Ja	3	4
1	525	106	4	0	292	817	1342	1867	2392	3090	3442	3967	4492	5017	5542	6087	1_27_525_Ko_Sa	3	6
1	525	94	4	0	395	920	1445	1970	2495	3237	3545	4070	4595	5120	5645	6071	1_24_525_Ro_Ja	5	4
3	525	100	4	0	280	805	1330	1855	2380	3153	3535	4060	4585	5110	5635	6146	3_25_525_Sa_Ar	6	1
1	525	90	4	0	349	874	1399	1924	2449	3173	3499	4024	4549	5074	5599	6195	1_23_525_Ro_Mi	5	2
3	525	70	4	0	307	832	1357	1882	2407	3218	3562	4087	4612	5137	5662	6165	3_18_525_Ro_Mi	5	2
2	525	52	4	0	325	850	1375	1900	2425	2985	3370	3895	4420	4945	5470	5965	2_13_525_Ja_Ar	4	1
3	525	88	4	0	304	829	1354	1879	2404	3275	3559	4084	4609	5134	5659	6145	3_22_525_Mi_Ko	2	3
2	525	40	4	0	297	822	1347	1872	2397	3031	3342	3867	4392	4917	5442	5971	2_10_525_Ja_Ro	4	5
2	525	44	4	0	341	866	1391	1916	2441	3011	3386	3911	4436	4961	5486	6023	2_11_525_Sa_Ro	6	5
2	525	2	4	0	246	771	1296	1821	2346	2969	3291	3816	4341	4866	5391	6045	2_01_525_Ar_Mi	1	2
1	525	64	4	0	308	833	1358	1883	2408	3195	3458	3983	4508	5033	5558	6234	1_16_525_Mi_Ko	2	3
3	525	78	4	0	313	838	1363	1888	2413	3256	3568	4093	4618	5143	5668	6230	3_20_525_Ar_Sa	1	6
3	525	92	4	0	349	874	1399	1924	2449	3278	3604	4129	4654	5179	5704	6300	3_23_525_Mi_Ro	2	5
2	525	30	4	0	295	820	1345	1870	2395	2994	3340	3865	4390	4915	5440	6100	2_08_525_Ar_Ja	1	4
1	525	26	4	3	338	863	1388	1913	2438	3179	3488	4013	4538	5063	5588	6172	1_07_525_Ar_Mi	1	2
3	425	1	5	0	323	748	1173	1598	2023	2713	2958	3383	3808	4233	4658	5121	3_01_425_Ar_Mi	1	2
3	425	17	5	0	318	743	1168	1593	2018	2691	2953	3378	3803	4228	4653	5359	3_05_425_Ro_Ja	5	4
3	425	103	5	0	335	760	1185	1610	2035	2646	2970	3395	3820	4245	4670	5233	3_26_425_Sa_Ko	6	3
2	425	15	5	0	296	721	1146	1571	1996	2434	2761	3186	3611	4036	4461	5040	2_04_425_Sa_Ko	6	3
1	425	77	5	0	313	738	1163	1588	2013	2551	2863	3288	3713	4138	4563	5205	1_20_425_Ar_Sa	1	6
2	425	11	5	0	342	767	1192	1617	2042	2508	2807	3232	3657	4082	4507	5027	2_03_425_Ja_Ko	4	3
1	425	59	5	0	318	743	1168	1593	2018	2594	2868	3293	3718	4143	4568	5020	1_15_425_Ja_Ko	4	3
2	425	25	5	0	310	735	1160	1585	2010	2438	2775	3200	3625	4050	4475	5097	2_07_425_Ar_Mi	1	2
3	425	61	5	0	264	689	1114	1539	1964	2592	2899	3324	3749	4174	4599	5202	3_16_425_Ko_Mi	3	2
1	425	107	5	0	353	778	1203	1628	2053	2612	2903	3328	3753	4178	4603	5067	1_27_425_Sa_Ko	6	3
2	425	85	5	0	285	710	1135	1560	1985	2447	2750	3175	3600	4025	4450	4914	2_22_425_Ko_Mi	3	2
1	425	5	5	0	326	751	1176	1601	2026	2529	2876	3301	3726	4151	4576	5084	1_02_425_Ar_Mi	1	2
3	425	51	5	0	386	811	1236	1661	2086	2697	3021	3446	3871	4296	4721	5182	3_13_425_Ja_Ar	4	1
3	425	71	5	0	345	770	1195	1620	2045	2674	2980	3405	3830	4255	4680	5098	3_18_425_Mi_Ro	2	5
1	425	47	5	0	339	764	1189	1614	2039	2563	2889	3314	3739	4164	4589	5186	1_12_425_Sa_Ro	6	5
2	425	3	5	0	323	748	1173	1598	2023	2543	2788	3213	3638	4063	4488	4951	2_01_425_Mi_Ar	2	1
1	425	55	5	0	348	773	1198	1623	2048	2614	2898	3323	3748	4173	4598	5083	1_14_425_Ja_Ar	4	1
1	425	41	5	3	376	801	1226	1651	2076	2586	2926	3351	3776	4201	4626	5244	1_11_425_Ro_Sa	5	6
1	525	86	6	0	304	829	1354	1879	2404	3170	3454	3979	4504	5029	5554	6040	1_22_525_Ko_Mi	3	2
3	525	102	6	0	325	850	1375	1900	2425	3246	3580	4105	4630	5155	5680	6143	3_26_525_Ko_Sa	3	6
3	525	28	6	0	338	863	1388	1913	2438	3284	3593	4118	4643	5168	5693	6277	3_07_525_Mi_Ar	2	1
3	525	34	6	0	388	913	1438	1963	2488	3334	3643	4168	4693	5218	5743	6236	3_09_525_Ko_Ja	3	4
1	525	46	6	0	327	852	1377	1902	2427	3139	3477	4002	4527	5052	5577	6125	1_12_525_Ro_Sa	5	6
2	525	80	6	0	313	838	1363	1888	2413	3046	3358	3883	4408	4933	5458	6020	2_20_525_Sa_Ar	6	1
1	525	20	6	0	263	788	1313	1838	2363	3118	3413	3938	4463	4988	5513	6006	1_05_525_Sa_Ko	6	3
2	525	104	6	0	325	850	1375	1900	2425	3036	3370	3895	4420	4945	5470	5933	2_26_525_Sa_Ko	6	3
1	525	16	6	0	328	853	1378	1903	2428	3161	3478	4003	4528	5053	5578	6085	1_04_525_Ja_Ro	4	5
3	525	96	6	0	395	920	1445	1970	2495	3342	3650	4175	4700	5225	5750	6176	3_24_525_Ja_Ro	4	5
3	525	60	6	0	275	800	1325	1850	2375	3213	3530	4055	4580	5105	5630	6184	3_15_525_Ja_Ko	4	3
2	525	14	6	0	328	853	1378	1903	2428	3056	3373	3898	4423	4948	5473	5980	2_04_525_Ro_Ja	5	4
2	525	18	6	0	263	788	1313	1838	2363	3013	3308	3833	4358	4883	5408	5901	2_05_525_Ko_Sa	3	6
2	525	8	6	0	348	873	1398	1923	2448	3068	3393	3918	4443	4968	5493	6066	2_02_525_Mi_Ar	2	1
2	525	36	6	0	388	913	1438	1963	2488	3124	3433	3958	4483	5008	5533	6026	2_09_525_Ja_Ko	4	3
2	525	66	6	0	267	792	1317	1842	2367	2965	3312	3837	4362	4887	5412	5908	2_17_525_Ro_Mi	5	2
2	525	22	6	0	339	864	1389	1914	2439	3110	3384	3909	4434	4959	5484	6058	2_06_525_Ro_Sa	5	6
3	525	56	6	99	285	810	1335	1860	2385	3193	3540	4065	4590	5115	5640	6160	3_14_525_Ja_Ar	4	1
